Feature,MeanAbsSHAP
V14,1.7169399
V4,1.4941484
V12,0.5865986
V11,0.3659615
V3,0.34707054
V16,0.32482165
V8,0.31680647
V21,0.31382036
V26,0.29767913
V7,0.29095978
Amount,0.27137977
V19,0.2694115
Time,0.261869
V10,0.2535459
V15,0.25053665
V1,0.22701028
V6,0.20629793
Hours,0.19534233
V24,0.17374809
V23,0.17133602
V20,0.1657192
V22,0.16540535
V18,0.16028105
V25,0.15511046
V13,0.14962645
V27,0.14567319
V28,0.14202312
V5,0.13375673
V2,0.13373077
V9,0.10030462
Time_Cluster_Morning,0.087170295
V17,0.080895014
Time_Cluster_Evening,0.027463399
Amount_Cluster,0.013209248
Time_Cluster_Night,0.0016884173
High_Amount,0.0
